,dda_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
106,jh,0.00046773562923469207,j,h,0.008534383719021828,0.008534383719021828,17.194911579791608
107,ji,0.0005621361827206895,j,i,0.008534383719021828,0.008534383719021828,17.01107068275064
108,jj,0.00032941726107571203,j,j,0.008534383719021828,0.008534383719021828,17.54548960336217
109,jk,0.0005754740481566591,j,k,0.008534383719021828,0.008534383719021828,16.987620688581302
110,ka,0.0005837065069602505,k,a,0.01657639914656163,0.01657639914656163,15.645662924849312
111,kb,0.00047578089950610944,k,b,0.01657639914656163,0.01657639914656163,15.85010377167089
112,kc,0.0004241227181074383,k,c,0.01657639914656163,0.01657639914656163,15.965038381924748
113,kd,0.000596551537957159,k,d,0.01657639914656163,0.01657639914656163,15.623895586374331
114,ke,0.0004746490171926037,k,e,0.01657639914656163,0.01657639914656163,15.852485605046983
115,kf,0.00043993440663874325,k,f,0.01657639914656163,0.01657639914656163,15.92843558480038
116,kg,0.0005707720408516662,k,g,0.01657639914656163,0.01657639914656163,15.668071322765952
117,kh,0.00047006322364917644,k,h,0.01657639914656163,0.01657639914656163,15.862194020718926
118,ki,0.0004121390758150349,k,i,0.01657639914656163,0.01657639914656163,15.99370036973282
119,kj,0.0005754740481566589,k,j,0.01657639914656163,0.01657639914656163,15.659867092061639
120,kk,0.00040228915861301867,k,k,0.01657639914656163,0.01657639914656163,16.01789009469962
