ROT_i,ROT_j,a_ij
6p,3b,18.645944729344095
6p,1z,18.800251441340908
6p,5z,18.02570994748746
6p,7p,18.220689875412255
6p,1t,19.293943830175127
6p,5q,19.795397268638546
6p,1o,18.384151158011235
6p,7r,18.396903783610377
6p,2a,16.32858592623065
6p,4a,18.746714066305056
6p,0a,17.947704328478416
6p,#a,18.624446217176725
6p,4g,18.603807356195468
6p,6g,18.710527506797657
6p,8d,18.36459295407048
6p,4d,19.43449527613531
6p,6d,18.916160903504654
6p,2h,18.296660637511504
6p,4n,19.225111864152755
6p,0i,19.786984342452925
6p,6n,18.809690012604502
6p,6j,19.325884417150824
6p,2[,17.461014343022804
6p,4b,18.04088956508567
6p,0b,18.729806101365032
6p,4p,18.991989168331386
6p,6p,18.51644353306956
6p,4s,19.21274861200816
6p,2o,18.52809202069753
4s,1a,14.680314235103696
4s,1m,20.25682992063517
4s,1L,20.573085201233553
4s,&a,19.624683136341666
4s,7a,19.549340906285053
4s,3a,19.907467083202764
4s,9a,20.1950769682667
4s,1g,18.68329848595826
4s,7d,20.091987425440376
4s,3d,19.855153512142373
4s,5d,20.202893174508244
4s,1e,19.601374012968076
4s,1c,17.427167803741945
4s,1f,20.125631429749923
4s,5j,20.47281898146852
4s,1b,17.996538020483715
4s,1[,19.102771026444305
4s,3b,20.51171279954709
4s,1z,20.522513001267072
4s,5z,19.37222745634848
4s,7p,19.524571786557825
4s,1t,21.119280159175112
4s,5q,21.18200311458368
4s,1o,20.367264588619605
4s,7r,20.065422809416727
4s,2a,18.20174037563116
4s,4a,20.62700356841121
4s,0a,19.8021762269852
4s,#a,20.521797135873342
4s,4g,20.238509121977668
4s,6g,20.213140662937825
4s,8d,19.69940230647683
4s,4d,20.681375972152413
4s,6d,19.936421948389267
4s,2h,20.389520971731887
4s,4n,20.72782247241435
4s,0i,21.126883211529464
4s,6n,20.0902940318982
4s,6j,20.734734306331468
4s,2[,19.325342840823293
4s,4b,19.940873739622518
4s,0b,20.549607239858645
4s,4p,20.263943817427748
4s,6p,19.21274861200816
4s,4s,22.066891987913078
4s,2o,20.584253756527673
2o,1a,14.09661124301282
2o,1m,19.758476961646853
2o,1L,19.899824065384664
2o,&a,19.014512347440984
2o,7a,18.85002815182723
2o,3a,19.15438492871521
2o,9a,19.392941657884517
2o,1g,18.09762600703633
2o,7d,19.524830173717692
2o,3d,19.257877242810267
2o,5d,19.504548809485538
2o,1e,18.964149193132037
2o,1c,17.03517077768048
2o,1f,19.653806238722453
2o,5j,19.78488167311608
2o,1b,17.41771054608664
2o,1[,18.58790522662221
2o,3b,19.756315105966927
2o,1z,19.92158466457116
2o,5z,18.555221182485965
2o,7p,18.956089605781575
2o,1t,20.739007362603253
2o,5q,20.4881189010224
2o,1o,20.36856660895822
2o,7r,19.723426818571653
2o,2a,17.649309469981894
2o,4a,19.87415920010929
2o,0a,18.986645699563894
2o,#a,19.664459313704988
2o,4g,19.475401135603935
2o,6g,19.470037481858434
2o,8d,19.12137261995513
2o,4d,20.075600747734143
2o,6d,19.26006109159204
2o,2h,20.021116098091486
2o,4n,20.255934563050626
2o,0i,20.576053166878914
2o,6n,19.464269858091022
2o,6j,20.05189987110285
2o,2[,18.800208427101445
2o,4b,19.13092071202004
2o,0b,19.707124067729602
2o,4p,19.69386458077437
2o,6p,18.52809202069753
2o,4s,20.584253756527673
2o,2o,20.972599360389484
