,ddag_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
103,ep,0.0004376700758525527,e,p,0.7843426883308714,0.7843426883308714,8.219863686243128
104,eq,0.0003421568934121707,e,q,0.7843426883308714,0.7843426883308714,8.46605967677001
105,er,0.0003949796889364916,e,r,0.7843426883308714,0.7843426883308714,8.322494718139845
106,es,0.0005675529547002788,e,s,0.7843426883308714,0.7843426883308714,7.959995004055519
107,et,0.00038139248144615127,e,t,0.7843426883308714,0.7843426883308714,8.357500081373962
108,eu,0.00042465523032317277,e,u,0.7843426883308714,0.7843426883308714,8.250051444368784
109,ev,0.0005479268079315416,e,v,0.7843426883308714,0.7843426883308714,7.9951873454458715
110,fa,0.0005115526840815835,f,a,0.006893156080748399,0.006893156080748399,17.532512442624917
111,fb,0.0005147612714985467,f,b,0.006893156080748399,0.006893156080748399,17.52625977919179
112,fc,0.00034260997446172893,f,c,0.006893156080748399,0.006893156080748399,17.933370322412756
113,fd,0.0003007516490150791,f,d,0.006893156080748399,0.006893156080748399,18.06367818404536
114,fe,0.0003712399192973377,f,e,0.006893156080748399,0.006893156080748399,17.853114485554123
115,ff,0.0001226373686384629,f,f,0.006893156080748399,0.006893156080748399,18.960731243542373
116,fg,0.0005282619179869343,f,g,0.006893156080748399,0.006893156080748399,17.500370804390325
117,fh,0.0005234918187481883,f,h,0.006893156080748399,0.006893156080748399,17.509441619694233
118,fi,0.0005125396226940054,f,i,0.006893156080748399,0.006893156080748399,17.530585001296757
119,fj,0.00043644143060635817,f,j,0.006893156080748399,0.006893156080748399,17.69130883521373
120,fk,0.00035040574188730965,f,k,0.006893156080748399,0.006893156080748399,17.910871276301854
121,fl,0.00039402124824901443,f,l,0.006893156080748399,0.006893156080748399,17.793558184484713
122,fm,0.00046452258733388154,f,m,0.006893156080748399,0.006893156080748399,17.628952837624013
123,fn,0.0005370160153309383,f,n,0.006893156080748399,0.006893156080748399,17.48393510412286
124,fo,0.0005309309274401453,f,o,0.006893156080748399,0.006893156080748399,17.49533108926413
125,fp,0.0004980019700690419,f,p,0.006893156080748399,0.006893156080748399,17.55935898891577
126,fq,0.0004293903500513993,f,q,0.006893156080748399,0.006893156080748399,17.707596609801115
127,fr,0.00033249396373617924,f,r,0.006893156080748399,0.006893156080748399,17.963341316140312
128,fs,0.0005711343253439981,f,s,0.006893156080748399,0.006893156080748399,17.42233859411813
129,ft,0.0004601830239976184,f,t,0.006893156080748399,0.006893156080748399,17.638338733288258
130,fu,0.00033927706875684226,f,u,0.006893156080748399,0.006893156080748399,17.94314593636454
131,fv,0.00042776620539565903,f,v,0.006893156080748399,0.006893156080748399,17.711386224636673
132,ga,0.00037044041453564765,g,a,0.004431314623338257,0.004431314623338257,18.738935919115292
133,gb,0.0005052990183545641,g,b,0.004431314623338257,0.004431314623338257,18.428478156854897
134,gc,0.0003812139163434496,g,c,0.004431314623338257,0.004431314623338257,18.710267848666692
135,gd,0.0004562931788423612,g,d,0.004431314623338257,0.004431314623338257,18.53049298747525
136,ge,0.0005357237690973696,g,e,0.004431314623338257,0.004431314623338257,18.370009854385057
137,gf,0.0005282619179869343,g,f,0.004431314623338257,0.004431314623338257,18.384036308948403
138,gg,0.00025310265442406166,g,g,0.004431314623338257,0.004431314623338257,19.119833371307127
139,gh,0.0004897534169311388,g,h,0.004431314623338257,0.004431314623338257,18.4597264927638
140,gi,0.0005589096543178076,g,i,0.004431314623338257,0.004431314623338257,18.327640686542267
141,gj,0.00043891366697062075,g,j,0.004431314623338257,0.004431314623338257,18.569325791098503
142,gk,0.00046683641841470586,g,k,0.004431314623338257,0.004431314623338257,18.50764961191392
143,gl,0.0005245807898848681,g,l,0.004431314623338257,0.004431314623338257,18.39102907828568
144,gm,0.0007031695165816608,g,m,0.004431314623338257,0.004431314623338257,18.098030530592276
145,gn,0.00039395369867313546,g,n,0.004431314623338257,0.004431314623338257,18.677395140118257
146,go,0.0004839616648839196,g,o,0.004431314623338257,0.004431314623338257,18.471622827658127
147,gp,0.000505391070985502,g,p,0.004431314623338257,0.004431314623338257,18.428295998877566
148,gq,0.0005565347809666747,g,q,0.004431314623338257,0.004431314623338257,18.331898858199136
149,gr,0.0005866203171719523,g,r,0.004431314623338257,0.004431314623338257,18.279250735030097
150,gs,0.0003919636437099476,g,s,0.004431314623338257,0.004431314623338257,18.682459436601174
151,gt,0.0005531378518932911,g,t,0.004431314623338257,0.004431314623338257,18.338021275899024
152,gu,0.0005698949606121842,g,u,0.004431314623338257,0.004431314623338257,18.308176462233334
153,gv,0.0006707987301354146,g,v,0.004431314623338257,0.004431314623338257,18.14515938956525
154,ha,0.00044333065058344896,h,a,0.0009847365829640572,0.0009847365829640572,21.5674674387913
155,hb,0.0002666124721532596,h,b,0.0009847365829640572,0.0009847365829640572,22.07598713108451
156,hc,0.0005241783842628157,h,c,0.0009847365829640572,0.0009847365829640572,21.399951265634098
157,hd,0.0005020345918187796,h,d,0.0009847365829640572,0.0009847365829640572,21.443114294681934
158,he,0.0005953563897011255,h,e,0.0009847365829640572,0.0009847365829640572,21.272623119485417
159,hf,0.0005234918187481883,h,f,0.0009847365829640572,0.0009847365829640572,21.40126191780486
160,hg,0.0004897534169311388,h,g,0.0009847365829640572,0.0009847365829640572,21.46788128631635
161,hh,0.00016699556580556643,h,h,0.0009847365829640572,0.0009847365829640572,22.543816060003387
162,hi,0.0004937616404626175,h,i,0.0009847365829640572,0.0009847365829640572,21.45973042844723
163,hj,0.00045861900330413264,h,j,0.0009847365829640572,0.0009847365829640572,21.53356351279457
164,hk,0.0005241889860812687,h,k,0.0009847365829640572,0.0009847365829640572,21.399931040246024
165,hl,0.0006038882920035471,h,l,0.0009847365829640572,0.0009847365829640572,21.258394086189142
166,hm,0.0006842080798185084,h,m,0.0009847365829640572,0.0009847365829640572,21.133521238384184
167,hn,0.00046592787249877347,h,n,0.0009847365829640572,0.0009847365829640572,21.517752477904725
168,ho,0.00037329335743184206,h,o,0.0009847365829640572,0.0009847365829640572,21.73941872842498
169,hp,0.0005113801598521876,h,p,0.0009847365829640572,0.0009847365829640572,21.42467005365311
170,hq,0.0005896249305279318,h,q,0.0009847365829640572,0.0009847365829640572,21.28229669622489
171,hr,0.0006215811461527558,h,r,0.0009847365829640572,0.0009847365829640572,21.2295168525688
172,hs,0.0004576989150467109,h,s,0.0009847365829640572,0.0009847365829640572,21.535571742794705
173,ht,0.0005938979983455494,h,t,0.0009847365829640572,0.0009847365829640572,21.275075735345055
174,hu,0.0004888707467541892,h,u,0.0009847365829640572,0.0009847365829640572,21.46968518703546
175,hv,0.0006523082579228942,h,v,0.0009847365829640572,0.0009847365829640572,21.18126608158234
176,ia,0.0005747544801349146,i,a,0.002625964221237485,0.002625964221237485,19.346181855440708
177,ib,0.0005087262953118311,i,b,0.002625964221237485,0.002625964221237485,19.46821467229209
178,ic,0.0005448067366218177,i,c,0.002625964221237485,0.002625964221237485,19.399693693911143
